epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7179,1.26814,3.14972,1.62001,0.24369,0.24063,0.24475,0.19026,0.8808,3.16681,1.373,2.858e-05,2.858e-05,2.858e-05
2,125.095,1.07755,1.79999,1.55023,0.77918,0.34936,0.36043,0.28457,0.64655,7.43583,1.22653,7.00353e-05,7.00353e-05,7.00353e-05
3,169.968,0.91104,1.37683,1.35425,0.64759,0.31164,0.32196,0.2741,0.61255,4.81235,1.18562,0.000109793,0.000109793,0.000109793
4,213.327,0.74351,1.09235,1.23038,0.66093,0.36119,0.3438,0.28522,0.63961,2.50505,1.27519,0.000147853,0.000147853,0.000147853
5,265.807,0.9289,1.20538,1.395,0.85612,0.36908,0.37344,0.29003,0.66846,2.4204,1.28578,0.000184215,0.000184215,0.000184215
6,312.393,0.7266,0.97757,1.18449,0.90829,0.36514,0.36875,0.29991,0.70274,2.38648,1.26433,0.00021888,0.00021888,0.00021888
7,377.874,0.85167,1.17191,1.27733,0.64139,0.36317,0.33521,0.26257,0.72672,2.82436,1.26679,0.000251847,0.000251847,0.000251847
8,432.853,0.75513,1.01725,1.24833,0.97166,0.30375,0.3272,0.26987,0.68766,2.77079,1.228,0.000283116,0.000283116,0.000283116
9,493.693,0.75207,0.89091,1.21513,0.2691,0.39694,0.31205,0.21538,0.93093,4.40261,1.34364,0.000312688,0.000312688,0.000312688
10,542.681,0.70088,0.85365,1.16337,0.62587,0.33777,0.2921,0.1709,1.31978,3.92362,1.76717,0.000340562,0.000340562,0.000340562
11,590.237,0.84667,0.97279,1.27448,0.33408,0.40311,0.35983,0.22528,1.07824,2.56524,1.52785,0.000366739,0.000366739,0.000366739
12,639.19,0.88369,0.94934,1.30098,0.64169,0.34763,0.33655,0.24338,0.9744,3.35041,1.50309,0.000391217,0.000391217,0.000391217
13,687.345,1.01223,0.99059,1.3645,0.56777,0.32618,0.2282,0.11545,1.72288,3.79922,2.7495,0.000413998,0.000413998,0.000413998
14,736.224,0.82176,0.92201,1.21818,0.58656,0.34788,0.24747,0.17059,1.17907,4.4961,2.04658,0.000435082,0.000435082,0.000435082
15,782.742,0.87534,0.93165,1.31054,0.60174,0.3575,0.28563,0.1974,1.05664,2.95623,1.88699,0.000454468,0.000454468,0.000454468
16,832.95,0.9271,1.10025,1.29626,0.28633,0.36538,0.30769,0.22047,0.9753,3.6065,1.7462,0.000472156,0.000472156,0.000472156
17,880.622,0.96126,0.96731,1.29611,0.20351,0.24655,0.24756,0.16539,1.25733,32.9987,2.24075,0.000488146,0.000488146,0.000488146
18,927.258,0.91582,0.9539,1.32129,0.5352,0.32569,0.27823,0.18288,1.29257,5.68659,2.20548,0.000502439,0.000502439,0.000502439
19,970.763,0.83199,0.87284,1.23611,0.5887,0.34936,0.31035,0.21386,1.03687,4.70154,1.74327,0.000515034,0.000515034,0.000515034
