epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.1863,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,0
2,10.812,nan,nan,nan,0,0,0,0,nan,nan,nan,1.9208e-05,1.9208e-05,1.9208e-05
3,14.2465,nan,nan,nan,0,0,0,0,nan,nan,nan,3.6832e-05,3.6832e-05,3.6832e-05
4,17.7498,nan,nan,nan,0,0,0,0,nan,nan,nan,5.2872e-05,5.2872e-05,5.2872e-05
5,21.1831,nan,nan,nan,0,0,0,0,nan,nan,nan,6.7328e-05,6.7328e-05,6.7328e-05
6,24.588,nan,nan,nan,0,0,0,0,nan,nan,nan,8.02e-05,8.02e-05,8.02e-05
7,28.3804,nan,nan,nan,0,0,0,0,nan,nan,nan,9.1488e-05,9.1488e-05,9.1488e-05
8,32.6494,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000101192,0.000101192,0.000101192
9,36.9059,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000109312,0.000109312,0.000109312
10,40.8778,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000115848,0.000115848,0.000115848
11,45.0407,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001208,0.0001208,0.0001208
12,49.2914,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000124168,0.000124168,0.000124168
13,53.4794,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000125952,0.000125952,0.000125952
14,57.5873,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000126152,0.000126152,0.000126152
15,61.0471,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000124768,0.000124768,0.000124768
16,91.7575,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001218,0.0001218,0.0001218
17,101.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000117248,0.000117248,0.000117248
