epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.623,1.34568,2.17777,1.58331,0.51901,0.36751,0.27155,0.14738,1.38498,5.2192,1.88594,0.0003375,0.0003375,0.0003375
2,980.824,1.3851,1.83072,1.58155,0.45182,0.21145,0.13412,0.06779,1.85494,8.03017,2.77057,0.000673888,0.000673888,0.000673888
3,1359.43,1.4511,1.89579,1.65764,0.34729,0.41063,0.14001,0.05047,2.09866,22.7983,3.01204,0.000996415,0.000996415,0.000996415
4,1785.15,1.51708,1.85142,1.71739,0.48286,0.25302,0.11593,0.04696,1.89777,18.0482,2.62551,0.00117575,0.00117575,0.00117575
5,2199,1.51158,1.72674,1.70181,0.43058,0.21996,0.13119,0.05338,2.07143,4.67405,2.64476,0.001151,0.001151,0.001151
6,2604.97,1.48758,1.77944,1.70027,0.56099,0.20625,0.15228,0.07576,1.82575,7.46694,2.50141,0.00112625,0.00112625,0.00112625
7,2988.38,1.42058,1.60909,1.6193,0.51668,0.21537,0.17474,0.08082,1.75306,5.24331,2.19251,0.0011015,0.0011015,0.0011015
8,3391.76,1.39118,1.55257,1.5826,0.51936,0.3117,0.24503,0.11989,1.72601,2.53263,2.05294,0.00107675,0.00107675,0.00107675
9,3795.83,1.37923,1.505,1.57124,0.61506,0.29591,0.30685,0.15595,1.56215,2.05523,1.87994,0.001052,0.001052,0.001052
10,4221.72,1.39946,1.49537,1.60014,0.60582,0.35766,0.34167,0.19364,1.45746,2.0879,1.79802,0.00102725,0.00102725,0.00102725
11,4595.57,1.3253,1.37963,1.55882,0.66542,0.4169,0.39561,0.23443,1.3763,1.58839,1.71902,0.0010025,0.0010025,0.0010025
12,5010.59,1.2944,1.3895,1.54131,0.68173,0.35969,0.36917,0.21671,1.43367,2.01449,1.83212,0.00097775,0.00097775,0.00097775
