epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3159,1.36005,4.07598,1.80476,0.21557,0.32216,0.19272,0.14024,0.9361,4.67212,1.4148,2.222e-05,2.222e-05,2.222e-05
2,101.604,1.17665,2.42725,1.70114,0.97676,0.28945,0.3223,0.2754,0.58875,7.34484,1.18124,5.44501e-05,5.44501e-05,5.44501e-05
3,146.439,0.92506,1.60663,1.42492,0.69133,0.40286,0.34597,0.2883,0.65164,9.53957,1.22301,8.53604e-05,8.53604e-05,8.53604e-05
4,190.58,0.8461,1.44002,1.36497,0.63251,0.45439,0.36287,0.29491,0.61401,4.64698,1.29493,0.000114951,0.000114951,0.000114951
5,247.607,0.89192,1.25296,1.42712,0.84819,0.4068,0.42849,0.31902,0.6486,3.55602,1.318,0.000143221,0.000143221,0.000143221
6,301.55,0.72448,1.06761,1.2186,0.75316,0.45242,0.43757,0.33114,0.66381,3.45851,1.29482,0.000170172,0.000170172,0.000170172
7,353.801,0.78312,1.06191,1.25168,0.67937,0.44867,0.36331,0.28655,0.68671,3.07954,1.3131,0.000195803,0.000195803,0.000195803
8,400.545,0.74878,0.99324,1.28426,0.68919,0.4465,0.35907,0.28765,0.67841,2.42489,1.27903,0.000220114,0.000220114,0.000220114
9,460.526,0.74989,0.93144,1.24796,0.33517,0.43261,0.34838,0.266,0.75225,2.32693,1.29852,0.000243105,0.000243105,0.000243105
10,507.797,0.65322,0.84597,1.14605,0.333,0.47625,0.34593,0.26339,0.77452,2.12185,1.3236,0.000264776,0.000264776,0.000264776
11,558.003,0.83477,1.03068,1.34617,0.3488,0.45653,0.3386,0.26928,0.78873,2.37466,1.3643,0.000285127,0.000285127,0.000285127
12,604.632,0.86991,1.02449,1.33464,0.33938,0.42352,0.37498,0.27929,0.82042,3.27663,1.39848,0.000304158,0.000304158,0.000304158
13,650.158,0.94196,1.06102,1.39056,0.24638,0.35552,0.28819,0.18128,1.2494,2.82685,1.79401,0.00032187,0.00032187,0.00032187
14,696.625,0.83558,0.97261,1.21371,0.66021,0.33161,0.32156,0.2348,0.96068,1.89216,1.59155,0.000338262,0.000338262,0.000338262
15,741.992,0.87084,0.9857,1.33804,0.26815,0.45661,0.32519,0.22991,1.0252,1.9849,1.7575,0.000353334,0.000353334,0.000353334
16,786.512,0.89895,0.94268,1.37572,0.66974,0.2961,0.31447,0.22156,1.07838,2.8483,1.82372,0.000367086,0.000367086,0.000367086
17,838.229,0.83323,0.84474,1.26219,0.24373,0.29019,0.26476,0.14722,1.4645,2.90639,2.33977,0.000379518,0.000379518,0.000379518
18,880.231,0.90144,0.88311,1.31918,0.28838,0.34898,0.30158,0.20304,1.05667,2.50198,1.68398,0.00039063,0.00039063,0.00039063
19,921.654,0.74685,0.80365,1.21707,0.21101,0.42875,0.33069,0.23604,0.88986,2.75215,1.49372,0.000400422,0.000400422,0.000400422
20,963.259,0.87055,0.88351,1.36554,0.33228,0.3575,0.31868,0.22611,0.97599,1.94923,1.52046,0.000408895,0.000408895,0.000408895
21,1004.58,0.72061,0.77562,1.24982,0.4073,0.32807,0.31088,0.22101,1.10518,1.99233,1.65934,0.000416047,0.000416047,0.000416047
22,1046.25,0.77796,0.67855,1.23213,0.88522,0.2288,0.24373,0.14459,1.56075,3.65665,2.34788,0.00042188,0.00042188,0.00042188
23,1087.54,0.75565,0.77913,1.21477,0.88211,0.16765,0.18757,0.10001,1.90263,3.89249,2.98567,0.000426393,0.000426393,0.000426393
24,1129.17,0.66633,0.60008,1.1394,0.6006,0.23669,0.25246,0.17105,1.26775,2.22792,1.9668,0.000429586,0.000429586,0.000429586
25,1170.53,0.84535,0.82529,1.32518,0.61897,0.41889,0.32374,0.23549,0.97549,1.68117,1.62823,0.000431459,0.000431459,0.000431459
26,1212.11,0.75631,0.76274,1.23658,0.68117,0.34344,0.35168,0.25585,0.89791,2.044,1.67332,0.000432012,0.000432012,0.000432012
27,1253.62,0.74072,0.72198,1.19809,0.65866,0.34936,0.34019,0.24885,0.85776,2.25032,1.66991,0.000431246,0.000431246,0.000431246
28,1295.46,0.78373,0.73654,1.20675,0.72717,0.43466,0.38663,0.27585,0.81512,2.16834,1.59846,0.000429159,0.000429159,0.000429159
29,1345.52,0.60224,0.65793,1.1241,0.72717,0.43466,0.38663,0.27585,0.81512,2.16834,1.59846,0.000425753,0.000425753,0.000425753
30,1388.32,0.82347,0.74591,1.27662,0.70003,0.48422,0.43431,0.31588,0.73829,1.76396,1.50875,0.000421027,0.000421027,0.000421027
31,1435.56,0.68649,0.67448,1.19024,0.79557,0.38396,0.42538,0.3186,0.75015,1.29602,1.47434,0.000414981,0.000414981,0.000414981
32,1481.61,0.73176,0.6833,1.20933,0.79694,0.39149,0.39923,0.28705,0.82221,1.41209,1.49736,0.000407615,0.000407615,0.000407615
33,1524.24,0.71875,0.65051,1.16458,0.79694,0.39149,0.39923,0.28705,0.82221,1.41209,1.49736,0.000398929,0.000398929,0.000398929
34,1567.31,0.74281,0.6674,1.188,0.77816,0.38905,0.37724,0.29276,0.74562,1.23193,1.42222,0.000385073,0.000385073,0.000385073
35,1621.54,0.65269,0.57968,1.14856,0.70916,0.39694,0.36571,0.2936,0.71726,1.22804,1.40932,0.000363075,0.000363075,0.000363075
36,1667.76,0.66787,0.6064,1.13726,0.76006,0.43664,0.39513,0.2919,0.8041,1.18156,1.49205,0.000341077,0.000341077,0.000341077
37,1710.39,0.6323,0.61047,1.12497,0.76006,0.43664,0.39513,0.2919,0.8041,1.18156,1.49205,0.000319079,0.000319079,0.000319079
38,1753.3,0.60015,0.57462,1.11833,0.71866,0.42468,0.40017,0.30573,0.78338,0.98636,1.4432,0.000297081,0.000297081,0.000297081
39,1800.26,0.69693,0.61755,1.16099,0.6892,0.42194,0.34891,0.27516,0.74991,1.00432,1.35057,0.000275084,0.000275084,0.000275084
40,1846.18,0.60149,0.54381,1.10777,0.68478,0.43466,0.36725,0.28394,0.7596,0.90535,1.36701,0.000253086,0.000253086,0.000253086
41,1899.22,0.52108,0.62378,1.04334,0.68478,0.43466,0.36725,0.28394,0.7596,0.90535,1.36701,0.000231088,0.000231088,0.000231088
42,1942.07,0.48961,0.5745,1.07487,0.70891,0.43466,0.36888,0.28731,0.75477,0.84831,1.35775,0.00020909,0.00020909,0.00020909
43,1988.97,0.43974,0.48693,0.98898,0.73902,0.47633,0.39663,0.31581,0.75941,0.83326,1.31809,0.000187092,0.000187092,0.000187092
44,2034.79,0.47085,0.54445,1.05824,0.78072,0.47436,0.41609,0.31373,0.79511,0.8411,1.34034,0.000165095,0.000165095,0.000165095
45,2077.39,0.38094,0.47664,0.98705,0.78072,0.47436,0.41609,0.31373,0.79511,0.8411,1.34034,0.000143097,0.000143097,0.000143097
46,2120.05,0.4384,0.47453,1.02253,0.41015,0.48466,0.44537,0.34268,0.79927,0.80838,1.34487,0.000121099,0.000121099,0.000121099
47,2167.77,0.44809,0.52255,1.06094,0.85019,0.42891,0.45857,0.35672,0.76228,0.77336,1.30892,9.91012e-05,9.91012e-05,9.91012e-05
48,2214.1,0.37116,0.45153,0.99461,0.81959,0.42716,0.46315,0.37134,0.73676,0.73834,1.28481,7.71034e-05,7.71034e-05,7.71034e-05
49,2257.19,0.3331,0.40324,0.97321,0.81959,0.42716,0.46315,0.37134,0.73676,0.73834,1.28481,5.51056e-05,5.51056e-05,5.51056e-05
50,2300.47,0.34526,0.40436,0.97107,0.42207,0.5318,0.46632,0.37756,0.72612,0.71384,1.27518,3.31078e-05,3.31078e-05,3.31078e-05
