epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3551,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,0
2,46.0764,nan,nan,nan,0,0,0,0,nan,nan,nan,1.9208e-05,1.9208e-05,1.9208e-05
3,64.5126,nan,nan,nan,0,0,0,0,nan,nan,nan,3.6832e-05,3.6832e-05,3.6832e-05
4,90.4758,nan,nan,nan,0,0,0,0,nan,nan,nan,5.2872e-05,5.2872e-05,5.2872e-05
5,106.249,nan,nan,nan,0,0,0,0,nan,nan,nan,6.7328e-05,6.7328e-05,6.7328e-05
6,137.203,nan,nan,nan,0,0,0,0,nan,nan,nan,8.02e-05,8.02e-05,8.02e-05
7,162.264,nan,nan,nan,0,0,0,0,nan,nan,nan,9.1488e-05,9.1488e-05,9.1488e-05
8,180.461,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000101192,0.000101192,0.000101192
9,210.087,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000109312,0.000109312,0.000109312
10,234.616,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000115848,0.000115848,0.000115848
11,251.197,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001208,0.0001208,0.0001208
12,276.872,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000124168,0.000124168,0.000124168
13,291.156,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000125952,0.000125952,0.000125952
14,318.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000126152,0.000126152,0.000126152
15,342.065,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000124768,0.000124768,0.000124768
