epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1224,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,0
2,40.226,nan,nan,nan,0,0,0,0,nan,nan,nan,1.9604e-05,1.9604e-05,1.9604e-05
3,65.8661,nan,nan,nan,0,0,0,0,nan,nan,nan,3.8416e-05,3.8416e-05,3.8416e-05
4,89.74,nan,nan,nan,0,0,0,0,nan,nan,nan,5.6436e-05,5.6436e-05,5.6436e-05
5,104.658,nan,nan,nan,0,0,0,0,nan,nan,nan,7.3664e-05,7.3664e-05,7.3664e-05
6,134.571,nan,nan,nan,0,0,0,0,nan,nan,nan,9.01e-05,9.01e-05,9.01e-05
7,160.686,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000105744,0.000105744,0.000105744
8,175.77,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000120596,0.000120596,0.000120596
9,201.799,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000134656,0.000134656,0.000134656
10,216.393,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000147924,0.000147924,0.000147924
11,246.161,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001604,0.0001604,0.0001604
12,260.944,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000172084,0.000172084,0.000172084
13,287.465,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000182976,0.000182976,0.000182976
14,304.62,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000193076,0.000193076,0.000193076
15,335.293,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000202384,0.000202384,0.000202384
16,360.274,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002109,0.0002109,0.0002109
17,375.066,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000218624,0.000218624,0.000218624
18,402.821,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000225556,0.000225556,0.000225556
19,419.356,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000231696,0.000231696,0.000231696
20,445.351,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000237044,0.000237044,0.000237044
21,467.298,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002416,0.0002416,0.0002416
22,498.66,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000245364,0.000245364,0.000245364
23,515.677,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000248336,0.000248336,0.000248336
24,545.846,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000250516,0.000250516,0.000250516
25,573.198,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000251904,0.000251904,0.000251904
26,590.063,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002525,0.0002525,0.0002525
27,604.74,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000252304,0.000252304,0.000252304
28,637.128,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000251316,0.000251316,0.000251316
29,664.29,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000249536,0.000249536,0.000249536
30,681.595,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000246964,0.000246964,0.000246964
31,708.548,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002436,0.0002436,0.0002436
32,725.006,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000239444,0.000239444,0.000239444
33,753.071,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000234496,0.000234496,0.000234496
34,769.916,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000228756,0.000228756,0.000228756
35,787.529,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000222224,0.000222224,0.000222224
36,814.895,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0002149,0.0002149,0.0002149
37,838.219,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000206784,0.000206784,0.000206784
38,854.351,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000197876,0.000197876,0.000197876
39,869.959,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000188176,0.000188176,0.000188176
40,886.111,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000177684,0.000177684,0.000177684
41,919.273,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001664,0.0001664,0.0001664
42,947.632,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000154324,0.000154324,0.000154324
43,964.514,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000141456,0.000141456,0.000141456
44,981.545,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000127796,0.000127796,0.000127796
45,1008.06,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000113344,0.000113344,0.000113344
46,1025.46,nan,nan,nan,0,0,0,0,nan,nan,nan,9.81e-05,9.81e-05,9.81e-05
47,1042.33,nan,nan,nan,0,0,0,0,nan,nan,nan,8.2064e-05,8.2064e-05,8.2064e-05
48,1067.27,nan,nan,nan,0,0,0,0,nan,nan,nan,6.5236e-05,6.5236e-05,6.5236e-05
49,1083.85,nan,nan,nan,0,0,0,0,nan,nan,nan,4.7616e-05,4.7616e-05,4.7616e-05
50,1108.69,nan,nan,nan,0,0,0,0,nan,nan,nan,2.9204e-05,2.9204e-05,2.9204e-05
